Code,DEquip,DOES,DOIS,DR,Lib_court,Libelle,Origine,REquip,ROES,ROIS,RR,RegrTotalise,Section,Special,Supprime,SupprimeDepuis,TypeChapitre,Nomenclature
002,,,,,Résultat de fonctionnement reporté,Résultat de fonctionnement reporté,Nature_Chapitre,,,,,,F,0,,,L,M57-M57
011,,,,,Charges à caractère général,Charges à caractère général,Nature_Chapitre,,,,,,F,0,,,G,M57-M57
012,,,,,Charges de personnel et frais assimilés,Charges de personnel et frais assimilés,Nature_Chapitre,,,,,,F,0,,,G,M57-M57
013,,,,,Atténuations de charges,Atténuations de charges,Nature_Chapitre,,,,,,F,0,,,G,M57-M57
014,,,,,Atténuations de produits,Atténuations de produits,Nature_Chapitre,,,,,,F,0,,,G,M57-M57
016,,,,,APA,APA,Nature_Chapitre,,,,,,F,1,,,G,M57-M57
017,,,,,RSA / Régularisations de RMI,RSA / Régularisations de RMI,Nature_Chapitre,,,,,,F,1,,,G,M57-M57
022,,,,,Dépenses imprévues,Dépenses imprévues,Nature_Chapitre,,,,,,F,0,,,L,M57-M57
023,,,,,Virement à la section d'investissement,Virement à la section d'investissement,Nature_Chapitre,,,,,,F,0,,,L,M57-M57
042,,,,,Opérations ordre transf. entre sections,Opérations d'ordre de transfert entre sections,Nature_Chapitre,,,,,,F,0,,,G,M57-M57
043,,,,,Opérations ordre intérieur de la section,Opérations d'ordre à l'intérieur de la section de fonctionnement,Nature_Chapitre,,,,,,F,0,,,G,M57-M57
65,,,,,Autres charges de gestion courante,Autres charges de gestion courante,Nature_Chapitre,,,,,,F,0,,,C,M57-M57
6586,,,,,Frais fonctionnement des groupes d'élus,Frais de fonctionnement des groupes d'élus,Nature_Chapitre,,,,,,F,0,,,C,M57-M57
66,,,,,Charges financières,Charges financières,Nature_Chapitre,,,,,,F,0,,,C,M57-M57
67,,,,,Charges spécifiques,Charges spécifiques,Nature_Chapitre,,,,,,F,0,,,C,M57-M57
68,,,,,"Dotations aux provisions, dépréciations",Dotations aux provisions et dépréciations,Nature_Chapitre,,,,,,F,0,,,C,M57-M57
70,,,,,"Prod. services, domaine, ventes diverses","Produits des services, du domaine et ventes diverses",Nature_Chapitre,,,,,,F,0,,,C,M57-M57
73,,,,,Impôts et taxes,Impôts et taxes,Nature_Chapitre,,,,,,F,0,,,C,M57-M57
731,,,,,Fiscalité locale,Fiscalité locale,Nature_Chapitre,,,,,,F,0,,,C,M57-M57
74,,,,,Dotations et participations,Dotations et participations,Nature_Chapitre,,,,,,F,0,,,C,M57-M57
75,,,,,Autres produits de gestion courante,Autres produits de gestion courante,Nature_Chapitre,,,,,,F,0,,,C,M57-M57
76,,,,,Produits financiers,Produits financiers,Nature_Chapitre,,,,,,F,0,,,C,M57-M57
77,,,,,Produits spécifiques,Produits spécifiques,Nature_Chapitre,,,,,,F,0,,,C,M57-M57
78,,,,,"Reprises amort., dépréciations, prov.","Reprises sur amortissements, dépréciations et provisions",Nature_Chapitre,,,,,,F,0,,,C,M57-M57
001,,,,,Solde exécution invest. reporté,Solde d'exécution de la section d'investissement reporté,Nature_Chapitre,,,,,,I,0,,,L,M57-M57
018,,,,,RSA,RSA,Nature_Chapitre,,,,,,I,1,,,G,M57-M57
020,,,,,Dépenses imprévues,Dépenses imprévues,Nature_Chapitre,,,,,,I,0,,,L,M57-M57
021,,,,,Virement de la section de fonctionnement,Virement de la section de fonctionnement,Nature_Chapitre,,,,,,I,0,,,L,M57-M57
024,,,,,Produits des cessions d'immobilisations,Produits des cessions d'immobilisations,Nature_Chapitre,,,,,,I,0,,,L,M57-M57
040,,,,,Opérations ordre transf. entre sections,Opérations d'ordre de transfert entre sections,Nature_Chapitre,,,,,,I,0,,,G,M57-M57
041,,,,,Opérations patrimoniales,Opérations patrimoniales,Nature_Chapitre,,,,,,I,0,,,G,M57-M57
10,,,,,"Dotations, fonds divers et réserves","Dotations, fonds divers et réserves",Nature_Chapitre,,,,,,I,0,,,C,M57-M57
13,,,,,Subventions d'investissement,Subventions d'investissement,Nature_Chapitre,,,,,,I,0,,,C,M57-M57
16,,,,,Emprunts et dettes assimilées,Emprunts et dettes assimilées,Nature_Chapitre,,,,,,I,0,,,C,M57-M57
18,,,,,"Cpte de liaison : affectation (BA,régie)",Compte de liaison : affectation (budgets annexes - régies non personnalisées),Nature_Chapitre,,,,,,I,0,,,C,M57-M57
20,,,,,Immobilisations incorporelles,Immobilisations incorporelles,Nature_Chapitre,,,,,,I,0,,,C,M57-M57
204,,,,,Subventions d'équipement versées,Subventions d'équipement versées,Nature_Chapitre,,,,,,I,0,,,C,M57-M57
21,,,,,Immobilisations corporelles,Immobilisations corporelles,Nature_Chapitre,,,,,,I,0,,,C,M57-M57
22,,,,,Immobilisations reçues en affectation,Immobilisations reçues en affectation,Nature_Chapitre,,,,,,I,0,,,C,M57-M57
23,,,,,Immobilisations en cours,Immobilisations en cours,Nature_Chapitre,,,,,,I,0,,,C,M57-M57
26,,,,,Participations et créances rattachées,Participations et créances rattachées à des participations,Nature_Chapitre,,,,,,I,0,,,C,M57-M57
27,,,,,Autres immobilisations financières,Autres immobilisations financières,Nature_Chapitre,,,,,,I,0,,,C,M57-M57
45411,,,,,Travaux effectués d'office,Travaux effectués d'office,Nature_Chapitre,,,,,,I,0,,,C,M57-M57
45412,,,,,Travaux effectués d'office,Travaux effectués d'office,Nature_Chapitre,,,,,,I,0,,,C,M57-M57
45421,,,,,Opérations de remembrement,Opérations de remembrement,Nature_Chapitre,,,,,,I,0,,,C,M57-M57
45422,,,,,Opérations de remembrement,Opérations de remembrement,Nature_Chapitre,,,,,,I,0,,,C,M57-M57
45431,,,,,Opérations de défense contre la mer,Opérations de défense contre la mer,Nature_Chapitre,,,,,,I,0,,,C,M57-M57
45432,,,,,Opérations de défense contre la mer,Opérations de défense contre la mer,Nature_Chapitre,,,,,,I,0,,,C,M57-M57
45441,,,,,Opérations d'aménagement foncier,Opérations d'aménagement foncier,Nature_Chapitre,,,,,,I,0,,,C,M57-M57
45442,,,,,Opérations d'aménagement foncier,Opérations d'aménagement foncier,Nature_Chapitre,,,,,,I,0,,,C,M57-M57
4551,,,,,Opérations d'investissement sur EPLE,Opérations d'investissement sur EPLE,Nature_Chapitre,,,,,,I,0,,,C,M57-M57
4552,,,,,Opérations d'investissement sur EPLE,Opérations d'investissement sur EPLE,Nature_Chapitre,,,,,,I,0,,,C,M57-M57
4581,,,,,Opérations sous mandat,Opérations sous mandat,Nature_Chapitre,,,,,,I,0,,,C,M57-M57
