Code,Lib_court,Libelle,Section,Special,TypeChapitre,Nomenclature,Origine,DEquip,DOES,DOIS,DR,REquip,ROES,ROIS,RR,RegrTotalise,Supprime,SupprimeDepuis
002,Résultat de fonctionnement reporté,Résultat de fonctionnement reporté,F,0,L,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
011,Charges à caractère général,Charges à caractère général,F,0,G,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
012,"Charges de personnel, frais assimilés",Charges de personnel et frais assimilés,F,0,G,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
013,Atténuations de charges,Atténuations de charges,F,0,G,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
014,Atténuations de produits,Atténuations de produits,F,0,G,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
022,Dépenses imprévues,Dépenses imprévues,F,0,L,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
023,Virement à la section d'investissement,Virement à la section d'investissement,F,0,L,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
042,Opérat° ordre transfert entre sections,Opérations d'ordre de transfert entre sections,F,0,G,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
043,Opérat° ordre intérieur de la section,Opérations d'ordre à l'intérieur de la section de fonctionnement,F,0,G,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
65,Autres charges de gestion courante,Autres charges de gestion courante,F,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
656,Frais fonctionnement des groupes d'élus,Frais de fonctionnement des groupes d'élus,F,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
66,Charges financières,Charges financières,F,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
67,Charges exceptionnelles,Charges exceptionnelles,F,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
68,Dotations provisions semi-budgétaires,Dotations aux provisions semi-budgétaires,F,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
70,"Produits services, domaine et ventes div","Produits des services, du domaine et ventes diverses",F,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
73,Impôts et taxes,Impôts et taxes,F,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
74,Dotations et participations,Dotations et participations,F,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
75,Autres produits de gestion courante,Autres produits de gestion courante,F,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
76,Produits financiers,Produits financiers,F,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
77,Produits exceptionnels,Produits exceptionnels,F,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
78,Reprises provisions semi-budgétaires,Reprises sur provisions semi-budgétaires,F,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
001,Solde exécution invest. reporté,Solde d'exécution de la section d'investissement reporté,I,0,L,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
010,Stocks,Stocks,I,0,G,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
020,Dépenses imprévues,Dépenses imprévues,I,0,L,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
021,Virement de la sect° de fonctionnement,Virement de la section de fonctionnement,I,0,L,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
024,Produits des cessions d'immobilisations,Produits des cessions d'immobilisations,I,0,L,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
040,Opérat° ordre transfert entre sections,Opérations d'ordre de transfert entre sections,I,0,G,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
041,Opérations patrimoniales,Opérations patrimoniales,I,0,G,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
10,"Dotations, fonds divers et réserves","Dotations, fonds divers et réserves",I,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
13,Subventions d'investissement,Subventions d'investissement,I,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
16,Emprunts et dettes assimilées,Emprunts et dettes assimilées,I,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
18,"Compte de liaison : affectat° (BA,régie)",Compte de liaison : affectation (budgets annexes - régies non personnalisées),I,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
20,Immobilisations incorporelles,Immobilisations incorporelles,I,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
204,Subventions d'équipement versées,Subventions d'équipement versées,I,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
21,Immobilisations corporelles,Immobilisations corporelles,I,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
22,Immobilisations reçues en affectation,Immobilisations reçues en affectation,I,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
23,Immobilisations en cours,Immobilisations en cours,I,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
26,Participat° et créances rattachées,Participations et créances rattachées à des participations,I,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
27,Autres immobilisations financières,Autres immobilisations financières,I,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
4541,Travaux effectués d'office,Travaux effectués d'office pour le compte de tiers,I,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
4542,Travaux effectués d'office,Travaux effectués d'office pour le compte de tiers,I,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
45611,Opérat° invest. établist enseignt région,Opérations d'investissement sur établissements d'enseignement remis à la région,I,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
45612,Opérat° invest. établist enseignt région,Opérations d'investissement sur établissements d'enseignement remis à la région,I,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
45621,Opérat° invest. établist enseignt départ,Opérations d'investissement sur établissements d'enseignement remis au département,I,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
45622,Opérat° invest. établist enseignt départ,Opérations d'investissement sur établissements d'enseignement remis au département,I,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
4581,Opérations sous mandat,Opérations sous mandat,I,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
4582,Opérations sous mandat,Opérations sous mandat,I,0,C,M14-M14_COM_SUP3500,Nature,,,,,,,,,,,
001,Solde d'exécution sect° d'investissement,Solde d'exécution de la section d'investissement reporté,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,,001,0,,,001,,,
002,Résultat de fonctionnement reporté,Résultat de fonctionnement reporté,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,,002,0,,,002,,,
020,Dépenses imprévues,Dépenses imprévues,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,,020,0,,,,,,
021,Virement de la section de fonctionnement,Virement de la section de fonctionnement,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,,,0,021,,,,,
022,Dépenses imprévues,Dépenses imprévues,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,,022,0,,,,,,
023,Virement à la section d'investissement,Virement à la section d'investissement,,,,M14-M14_COM_SUP3500,Nature_Compte,0,023,,,0,,,,,,
024,Produits des cessions d'immobilisations,Produits des cessions d'immobilisations,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,,,0,,,024,,,
10,"Dotations, fonds divers et réserves","Dotations, fonds divers et réserves",,,,M14-M14_COM_SUP3500,Nature_Compte,,,,,,,,,1,,
102,Dotations et fonds d'investissement,Dotations et fonds d'investissement,,,,M14-M14_COM_SUP3500,Nature_Compte,,,,,,,,,,,
1021,Dotation,Dotation,,,,M14-M14_COM_SUP3500,Nature_Compte,0,040,041,10,0,040,041,10,,,
1022,Fonds d'investissement,Fonds d'investissement,,,,M14-M14_COM_SUP3500,Nature_Compte,,,,,,,,,,,
10222,FCTVA,FCTVA,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,,10,0,,,10,,,
10223,TLE,TLE,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,,10,0,,,10,,,
10226,Taxe d'aménagement,Taxe d'aménagement,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,,10,0,,,10,,,
10227,Versement pour sous-densité,Versement pour sous-densité,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,,10,0,,,10,,,
10228,Autres fonds,Autres fonds,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,,10,0,,,10,,,
10229,Reprise sur FCTVA et autres fonds,Reprise sur FCTVA et autres fonds,,,,M14-M14_COM_SUP3500,Nature_Compte,,,,,,,,,,,
102291,Reprise sur FCTVA,Reprise sur FCTVA,,,,M14-M14_COM_SUP3500,Nature_Compte,0,040,,,0,040,,,,,
102296,Reprise sur taxe d'aménagement,Reprise sur taxe d'aménagement,,,,M14-M14_COM_SUP3500,Nature_Compte,0,040,,,0,040,,,,,
102297,Reprise sur versement pour sous-densité,Reprise sur versement pour sous-densité,,,,M14-M14_COM_SUP3500,Nature_Compte,0,040,,,0,040,,,,,
102298,Reprise sur autres fonds,Reprise sur autres fonds,,,,M14-M14_COM_SUP3500,Nature_Compte,0,040,,,0,040,,,,,
1025,Dons et legs en capital,Dons et legs en capital,,,,M14-M14_COM_SUP3500,Nature_Compte,,,,,,,,,,,
10251,Dons et legs en capital,Dons et legs en capital,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,041,10,0,,041,10,,,
10259,Reprise sur dons et legs en capital,Reprise sur dons et legs en capital,,,,M14-M14_COM_SUP3500,Nature_Compte,0,040,,,0,040,,,,,
1027,Mise à dispo (chez le bénéficiaire),Mise à disposition (chez le bénéficiaire),,,,M14-M14_COM_SUP3500,Nature_Compte,0,,,,0,,,,,,
103,Plan de relance FCTVA,Plan de relance FCTVA,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,,10,0,,,10,,,
106,Réserves,Réserves,,,,M14-M14_COM_SUP3500,Nature_Compte,,,,,,,,,,,
1068,Excédents de fonctionnement capitalisés,Excédents de fonctionnement capitalisés,,,,M14-M14_COM_SUP3500,Nature_Compte,0,040,041,10,0,040,041,10,,,
1069,Reprise 1997 sur excédents capitalisés,Reprise 1997 sur les excédents capitalisés - Neutralisation de l'excédent des charges sur les produits,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,,,0,,,,,,
11,Report à nouveau,Report à nouveau (solde créditeur ou débiteur),,,,M14-M14_COM_SUP3500,Nature_Compte,,,,,,,,,,,
110,Report à nouveau (solde créditeur),Report à nouveau (solde créditeur),,,,M14-M14_COM_SUP3500,Nature_Compte,0,,,,0,,,,,,
119,Report à nouveau (solde débiteur),Report à nouveau (solde débiteur),,,,M14-M14_COM_SUP3500,Nature_Compte,0,,,,0,,,,,,
12,Résultat de l'exercice,Résultat de l'exercice (excédentaire ou déficitaire),,,,M14-M14_COM_SUP3500,Nature_Compte,0,,,,0,,,,,,
13,Subventions d'investissement,Subventions d'investissement,,,,M14-M14_COM_SUP3500,Nature_Compte,,,,,,,,,1,,
131,Subv inv rattachées aux actifs amort,Subventions d'investissement rattachées aux actifs amortissables,,,,M14-M14_COM_SUP3500,Nature_Compte,,,,,,,,,,,
1311,Subv. transf. Etat et établ. Nationaux,Etat et établissements nationaux,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,041,13,1,,041,13,,,
1312,Subv. transf. Régions,Régions,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,041,13,1,,041,13,,,
1313,Subv. transf. Départements,Départements,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,041,13,1,,041,13,,,
1314,Subv. transf. Communes,Communes,,,,M14-M14_COM_SUP3500,Nature_Compte,,,,,,,,,,,
13141,Subv. transf. Communes membres du GFP,Communes membres du GFP,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,041,13,1,,041,13,,,
13146,Attrib. de compensation d'investissement,Attributions de compensation d'investissement,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,041,13,1,,041,13,,,
13148,Subv. transf. Autres communes,Autres communes,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,041,13,1,,041,13,,,
1315,Group. coll et coll. statut particulier,Groupements de collectivités et collectivités à statut particulier,,,,M14-M14_COM_SUP3500,Nature_Compte,,,,,,,,,,,
13151,Subv. transf. GFP de rattachement,GFP de rattachement,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,041,13,1,,041,13,,,
13156,Attributions de compens d'investissement,Attributions de compensation d'investissement,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,041,13,1,,041,13,,,
13158,Subv. transf. Autres groupements,Autres groupements,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,041,13,1,,041,13,,,
1316,Subv. transf. Autres E.P.L.,Autres établissements publics locaux,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,041,13,1,,041,13,,,
1317,"Subv. transf. Budget communautaire, FS",Budget communautaire et fonds structurels,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,041,13,1,,041,13,,,
1318,Autres subventions d'équipement transf.,Autres,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,041,13,1,,041,13,,,
132,Subv inv rattachées aux actifs non amort,Subventions d'investissement rattachées aux actifs non amortissables,,,,M14-M14_COM_SUP3500,Nature_Compte,,,,,,,,,,,
1321,"Subv. non transf. Etat, établ. nationaux",Etat et établissements nationaux,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,041,13,1,,041,13,,,
1322,Subv. non transf. Régions,Régions,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,041,13,1,,041,13,,,
1323,Subv. non transf. Départements,Départements,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,041,13,1,,041,13,,,
1324,Subv. non transf. Communes,Communes,,,,M14-M14_COM_SUP3500,Nature_Compte,,,,,,,,,,,
13241,Subv. non transf. Communes du GFP,Communes membres du GFP,,,,M14-M14_COM_SUP3500,Nature_Compte,0,,041,13,1,,041,13,,,
