Code,Lib_court,Libelle,Section,Special,TypeChapitre,Nomenclature,Origine,DEquip,DOES,DOIS,DR,REquip,ROES,ROIS,RR,RegrTotalise,Supprime,SupprimeDepuis
002,Résultat de fonctionnement reporté,Résultat de fonctionnement reporté,F,0,L,M52-M52,Nature,,,,,,,,,,,
011,Charges à caractère général,Charges à caractère général,F,0,G,M52-M52,Nature,,,,,,,,,,,
012,Charges de personnel et frais assimilés,Charges de personnel et frais assimilés,F,0,G,M52-M52,Nature,,,,,,,,,,,
013,Atténuations de charges,Atténuations de charges,F,0,G,M52-M52,Nature,,,,,,,,,,,
014,Atténuations de produits,Atténuations de produits,F,0,G,M52-M52,Nature,,,,,,,,,,,
015,Revenu minimum d'insertion,Revenu minimum d'insertion,F,1,G,M52-M52,Nature,,,,,,,,,,,
016,Allocation personnalisée d'autonomie,Allocation personnalisée d'autonomie,F,1,G,M52-M52,Nature,,,,,,,,,,,
017,Revenu de solidarité active,Revenu de solidarité active,F,1,G,M52-M52,Nature,,,,,,,,,,,
022,Dépenses imprévues,Dépenses imprévues,F,0,L,M52-M52,Nature,,,,,,,,,,,
023,Virement à la section d'investissement,Virement à la section d'investissement,F,0,L,M52-M52,Nature,,,,,,,,,,,
042,Opérations ordre transf. entre sections,Opérations d'ordre de transfert entre sections,F,0,G,M52-M52,Nature,,,,,,,,,,,
043,Opérations ordre intérieur de la section,Opérations d'ordre à l'intérieur de la section de fonctionnement,F,0,G,M52-M52,Nature,,,,,,,,,,,
65,Autres charges de gestion courante,Autres charges de gestion courante,F,0,C,M52-M52,Nature,,,,,,,,,,,
6586,Frais fonctionnement des groupes d'élus,Frais de fonctionnement des groupes d'élus,F,0,C,M52-M52,Nature,,,,,,,,,,,
66,Charges financières,Charges financières,F,0,C,M52-M52,Nature,,,,,,,,,,,
67,Charges exceptionnelles,Charges exceptionnelles,F,0,C,M52-M52,Nature,,,,,,,,,,,
68,Dotations amortissements et provisions,Dotations aux amortissements et aux provisions,F,0,C,M52-M52,Nature,,,,,,,,,,,
70,"Prod. services, domaine, ventes diverses","Produits des services, du domaine et ventes diverses",F,0,C,M52-M52,Nature,,,,,,,,,,,
73,Impôts et taxes,Impôts et taxes,F,0,C,M52-M52,Nature,,,,,,,,,,,
731,Impositions directes,Impositions directes,F,0,C,M52-M52,Nature,,,,,,,,,,,
74,"Dotations, subventions et participations","Dotations, subventions et participations",F,0,C,M52-M52,Nature,,,,,,,,,,,
75,Autres produits de gestion courante,Autres produits de gestion courante,F,0,C,M52-M52,Nature,,,,,,,,,,,
76,Produits financiers,Produits financiers,F,0,C,M52-M52,Nature,,,,,,,,,,,
77,Produits exceptionnels,Produits exceptionnels,F,0,C,M52-M52,Nature,,,,,,,,,,,
78,Reprises amortissements et provisions,Reprises sur amortissements et provisions,F,0,C,M52-M52,Nature,,,,,,,,,,,
001,Solde exécution invest. reporté,Solde d'exécution de la section d'investissement reporté,I,0,L,M52-M52,Nature,,,,,,,,,,,
010,Revenu minimum d'insertion,Revenu minimum d'insertion,I,1,G,M52-M52,Nature,,,,,,,,,,,
018,Revenu de solidarité active,Revenu de solidarité active,I,1,G,M52-M52,Nature,,,,,,,,,,,
020,Dépenses imprévues,Dépenses imprévues,I,0,L,M52-M52,Nature,,,,,,,,,,,
021,Virement de la section de fonctionnement,Virement de la section de fonctionnement,I,0,L,M52-M52,Nature,,,,,,,,,,,
024,Produits des cessions d'immobilisations,Produits des cessions d'immobilisations,I,0,L,M52-M52,Nature,,,,,,,,,,,
040,Opérations ordre transf. entre sections,Opérations d'ordre de transfert entre sections,I,0,G,M52-M52,Nature,,,,,,,,,,,
041,Opérations patrimoniales,Opérations patrimoniales,I,0,G,M52-M52,Nature,,,,,,,,,,,
10,"Dotations, fonds divers et réserves","Dotations, fonds divers et réserves",I,0,C,M52-M52,Nature,,,,,,,,,,,
13,Subventions d'investissement,Subventions d'investissement,I,0,C,M52-M52,Nature,,,,,,,,,,,
16,Emprunts et dettes assimilées,Emprunts et dettes assimilées,I,0,C,M52-M52,Nature,,,,,,,,,,,
18,"Cpte de liaison : affectation (BA,régie)",Compte de liaison : affectation (budgets annexes - régies non personnalisées),I,0,C,M52-M52,Nature,,,,,,,,,,,
20,Immobilisations incorporelles,Immobilisations incorporelles,I,0,C,M52-M52,Nature,,,,,,,,,,,
204,Subventions d'équipement versées,Subventions d'équipement versées,I,0,C,M52-M52,Nature,,,,,,,,,,,
21,Immobilisations corporelles,Immobilisations corporelles,I,0,C,M52-M52,Nature,,,,,,,,,,,
22,Immobilisations reçues en affectation,Immobilisations reçues en affectation,I,0,C,M52-M52,Nature,,,,,,,,,,,
23,Immobilisations en cours,Immobilisations en cours,I,0,C,M52-M52,Nature,,,,,,,,,,,
26,Participations et créances rattachées,Participations et créances rattachées à des participations,I,0,C,M52-M52,Nature,,,,,,,,,,,
27,Autres immobilisations financières,Autres immobilisations financières,I,0,C,M52-M52,Nature,,,,,,,,,,,
45411,Travaux effectués d'office,Travaux effectués d'office,I,0,C,M52-M52,Nature,,,,,,,,,,,
45412,Travaux effectués d'office,Travaux effectués d'office,I,0,C,M52-M52,Nature,,,,,,,,,,,
45421,Opérations de remembrement,Opérations de remembrement,I,0,C,M52-M52,Nature,,,,,,,,,,,
45422,Opérations de remembrement,Opérations de remembrement,I,0,C,M52-M52,Nature,,,,,,,,,,,
45431,Opérations de défenses contre la mer,Opérations de défenses contre la mer,I,0,C,M52-M52,Nature,,,,,,,,,,,
45432,Opérations de défenses contre la mer,Opérations de défenses contre la mer,I,0,C,M52-M52,Nature,,,,,,,,,,,
45441,Opérations d'aménagement foncier,Opérations d'aménagement foncier,I,0,C,M52-M52,Nature,,,,,,,,,,,
45442,Opérations d'aménagement foncier,Opérations d'aménagement foncier,I,0,C,M52-M52,Nature,,,,,,,,,,,
4551,Opérations d'investissement sur EPLE,Opérations d'investissement sur EPLE,I,0,C,M52-M52,Nature,,,,,,,,,,,
4552,Opérations d'investissement sur EPLE,Opérations d'investissement sur EPLE,I,0,C,M52-M52,Nature,,,,,,,,,,,
4581,Opérations sous mandat,Opérations sous mandat,I,0,C,M52-M52,Nature,,,,,,,,,,,
4582,Opérations sous mandat,Opérations sous mandat,I,0,C,M52-M52,Nature,,,,,,,,,,,
001,Solde d'exécution section investissement,Solde d'exécution de la section d'investissement reporté,,,,M52-M52,Nature_Compte,0,,,001,0,,,001,,,
002,Résultat de fonctionnement reporté,Résultat de fonctionnement reporté,,,,M52-M52,Nature_Compte,0,,,002,0,,,002,,,
020,Dépenses imprévues,Dépenses imprévues,,,,M52-M52,Nature_Compte,0,,,020,0,,,,,,
021,Virement de la section de fonctionnement,Virement de la section de fonctionnement,,,,M52-M52,Nature_Compte,0,,,,0,021,,,,,
022,Dépenses imprévues,Dépenses imprévues,,,,M52-M52,Nature_Compte,0,,,022,0,,,,,,
023,Virement à la section d'investissement,Virement à la section d'investissement,,,,M52-M52,Nature_Compte,0,023,,,0,,,,,,
024,Produits des cessions d'immobilisations,Produits des cessions d'immobilisations,,,,M52-M52,Nature_Compte,0,,,,0,,,024,,,
10,"Dotations, fonds divers et réserves","Dotations, fonds divers et réserves",,,,M52-M52,Nature_Compte,,,,,,,,,1,,
102,Dotations et fonds d'investissement,Dotations et fonds d'investissement,,,,M52-M52,Nature_Compte,,,,,,,,,,,
1021,Dotation,Dotation,,,,M52-M52,Nature_Compte,0,040,041,10,0,040,041,10,,,
1022,Fonds d'investissement,Fonds d'investissement,,,,M52-M52,Nature_Compte,,,,,,,,,,,
10222,FCTVA,FCTVA,,,,M52-M52,Nature_Compte,0,,,10,0,,,10,,,
10228,Autres fonds,Autres fonds,,,,M52-M52,Nature_Compte,0,,,10,0,,,10,,,
10229,Reprise sur FCTVA et autres fonds,Reprise sur FCTVA et autres fonds,,,,M52-M52,Nature_Compte,,,,,,,,,,,
102291,Reprise sur FCTVA,Reprise sur FCTVA,,,,M52-M52,Nature_Compte,0,040,,,0,040,,,,,
102298,Reprise sur autres fonds,Reprise sur autres fonds,,,,M52-M52,Nature_Compte,0,040,,,0,040,,,,,
1025,Dons et legs en capital,Dons et legs en capital,,,,M52-M52,Nature_Compte,,,,,,,,,,,
10251,Dons et legs en capital,Dons et legs en capital,,,,M52-M52,Nature_Compte,0,,041,10,0,,041,10,,,
10259,Reprise sur dons et legs en capital,Reprise sur dons et legs en capital,,,,M52-M52,Nature_Compte,0,040,,,0,040,,,,,
1027,Mise à disposition (chez bénéficiaire),Mise à disposition (chez le bénéficiaire),,,,M52-M52,Nature_Compte,0,,,,0,,,,,,
103,Plan de relance FCTVA,Plan de relance FCTVA,,,,M52-M52,Nature_Compte,0,,,10,0,,,10,,,
106,Réserves,Réserves,,,,M52-M52,Nature_Compte,,,,,,,,,,,
1068,Excédents de fonctionnement capitalisés,Excédents de fonctionnement capitalisés,,,,M52-M52,Nature_Compte,0,040,041,10,0,040,041,10,,,
1069,Reprise 2004 sur excédents capitalisés,Reprise 2004 sur les excédents capitalisés - Neutralisation de l'excédent des charges sur les produits,,,,M52-M52,Nature_Compte,0,,,,0,,,,,,
11,Report à nouveau,Report à nouveau (solde créditeur ou débiteur),,,,M52-M52,Nature_Compte,,,,,,,,,,,
110,Report à nouveau (solde créditeur),Report à nouveau (solde créditeur),,,,M52-M52,Nature_Compte,0,,,,0,,,,,,
119,Report à nouveau (solde débiteur),Report à nouveau (solde débiteur),,,,M52-M52,Nature_Compte,0,,,,0,,,,,,
12,Résultat de l'exercice,Résultat de l'exercice (excédentaire ou déficitaire),,,,M52-M52,Nature_Compte,0,,,,0,,,,,,
13,Subventions d'investissement,Subventions d'investissement,,,,M52-M52,Nature_Compte,,,,,,,,,1,,
131,Subv inv rattachées aux actifs amort,Subventions d'investissement rattachées aux actifs amortissables,,,,M52-M52,Nature_Compte,,,,,,,,,,,
1311,Subv. transf. Etat et établ. nationaux,Etat et établissements nationaux,,,,M52-M52,Nature_Compte,0,,041,13,1,,041,13,,,
1312,Subv. transf. Régions,Régions,,,,M52-M52,Nature_Compte,0,,041,13,1,,041,13,,,
1313,Subv. transf. Départements,Départements,,,,M52-M52,Nature_Compte,0,,041,13,1,,041,13,,,
1314,Subv. transf. Communes,Communes et structures intercommunales,,,,M52-M52,Nature_Compte,0,,041,13,1,,041,13,,,
1315,Group. coll et coll. statut particulier,Autres groupements de collectivités et collectivités à statut particulier,,,,M52-M52,Nature_Compte,0,,041,13,1,,041,13,,,
1316,Subv. transf. Autres E.P.L.,Autres établissements publics locaux,,,,M52-M52,Nature_Compte,0,,041,13,1,,041,13,,,
1317,Subv. transf. Fonds européens,Fonds européens,,,,M52-M52,Nature_Compte,,,,,,,,,,,
13171,Subv. transf. Fonds social européen,Fonds social européen,,,,M52-M52,Nature_Compte,0,,041,13,1,,041,13,,,
13172,Subv. transf. FEDER,FEDER,,,,M52-M52,Nature_Compte,0,,041,13,1,,041,13,,,
13173,Subv. transf. FEOGA,FEOGA,,,,M52-M52,Nature_Compte,0,,041,13,1,,041,13,,,
13178,Autres fonds européens,Autres fonds européens,,,,M52-M52,Nature_Compte,0,,041,13,1,,041,13,,,
1318,Autres subventions d'équipement transf.,Autres,,,,M52-M52,Nature_Compte,0,,041,13,1,,041,13,,,
